"ParticipantID","Age","Location","DietType","LocalFoodFrequency","TransportationMode","EnergySource","HomeType","HomeSize","ClothingFrequency","SustainableBrands","EnvironmentalAwareness","CommunityInvolvement","MonthlyElectricityConsumption","MonthlyWaterConsumption","Gender","UsingPlasticProducts","DisposalMethods","PhysicalActivities","Rating","energy_score","transportation_score","disposal_score","electricity_score","water_score","sustainability_score"
129,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",680,"Always",FALSE,2,NA,415,4750,"Prefer not to say","Often","Landfill","None",1,1,1,1,1.2,1.10526315789474,1.03052631578947
130,48,"Suburban","Mostly Plant-Based","Often","Public Transit","Renewable","House",1590,"Sometimes",TRUE,4,"High",215,2850,"Male","Rarely","Recycling","High",5,3,2,2,2.31627906976744,1.8421052631579,2.31583843329253
131,35,"Urban","Balanced","Sometimes","Bike","Mixed","Apartment",975,"Often",FALSE,3,"Low",290,3400,"Female","Sometimes","Combination","Moderate",3,2,3,NA,1.71724137931034,1.54411764705882,NA
132,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2295,"Always",FALSE,1,NA,470,5200,"Male","Often","Landfill","None",1,1,1,1,1.05957446808511,1.00961538461538,1.00691898527005
133,26,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","Other",625,"Rarely",TRUE,5,"High",100,1450,"Female",NA,"Composting","High",5,3,3,3,4.98,3.62068965517241,3.26006896551724
134,43,"Suburban","Balanced","Often","Public Transit","Renewable","House",1670,"Sometimes",TRUE,4,"Moderate",230,2950,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.16521739130435,1.77966101694915,2.29448784082535
135,56,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",2000,"Often",TRUE,3,"Moderate",360,4100,"Male","Rarely","Combination","Moderate",4,2,3,NA,1.38333333333333,1.28048780487805,NA
136,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1135,"Always",FALSE,2,NA,380,4300,"Non-Binary","Often","Landfill","None",1,1,1,1,1.31052631578947,1.22093023255814,1.05314565483476
137,48,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1380,"Rarely",TRUE,4,"High",140,1900,"Female",NA,"Composting","High",5,3,3,3,3.55714285714286,2.76315789473684,3.03203007518797
138,35,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",965,"Often",TRUE,3,"Low",295,3450,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.68813559322034,1.52173913043478,1.92098747236551
139,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",775,"Always",FALSE,1,NA,440,4950,"Male","Often","Landfill","None",1,1,1,1,1.13181818181818,1.06060606060606,1.01924242424242
140,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1305,"Rarely",TRUE,5,"High",110,1600,"Female",NA,"Composting","High",5,3,3,3,4.52727272727273,3.28125,3.18085227272727
141,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1080,"Sometimes",TRUE,4,"Moderate",235,3050,"Male","Sometimes","Recycling","Moderate",4,3,2,2,2.11914893617021,1.72131147540984,2.284046041158
142,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1890,"Often",TRUE,3,"Low",335,3950,"Female","Rarely","Combination","Low",3,2,3,NA,1.4865671641791,1.32911392405063,NA
143,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",675,"Always",FALSE,2,NA,410,4600,"Male","Often","Landfill","None",1,1,1,1,1.21463414634146,1.14130434782609,1.03559384941676
144,49,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1470,"Rarely",TRUE,4,"High",155,2050,"Female",NA,"Composting","High",5,3,3,3,3.21290322580645,2.5609756097561,2.97738788355626
145,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",985,"Often",TRUE,3,"Moderate",290,3400,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.71724137931034,1.54411764705882,1.92613590263692
146,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2310,"Always",FALSE,1,NA,470,5200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.05957446808511,1.00961538461538,1.00691898527005
147,28,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",635,"Rarely",TRUE,5,"High",95,1350,"Female",NA,"Composting","High",5,3,3,3,5.24210526315789,3.88888888888889,3.31309941520468
148,45,"Suburban","Balanced","Often","Public Transit","Renewable","House",1685,"Sometimes",TRUE,4,"Moderate",225,2950,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.21333333333333,1.77966101694915,2.29929943502825
149,58,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1995,"Often",TRUE,3,"Low",360,4100,"Male","Rarely","Combination","Low",3,2,3,NA,1.38333333333333,1.28048780487805,NA
150,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1145,"Always",FALSE,2,NA,385,4350,"Male","Often","Landfill","None",1,1,1,1,1.29350649350649,1.20689655172414,1.05004030452306
151,40,"Urban","Mostly Plant-Based","Often","Bike","Renewable","House",1370,"Rarely",TRUE,4,"Moderate",185,2350,"Male",NA,"Composting","High",5,3,3,3,2.69189189189189,2.23404255319149,2.89259344450834
152,26,"Suburban","Balanced","Sometimes","Public Transit","Mixed","Apartment",985,"Sometimes",TRUE,3,"Low",305,3550,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.6327868852459,1.47887323943662,1.91116601246825
153,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1900,"Often",TRUE,3,"Moderate",340,3900,"Non-Binary","Rarely","Combination","Moderate",4,2,3,NA,1.46470588235294,1.34615384615385,NA
154,33,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",695,"Always",FALSE,2,NA,425,4850,"Male","Often","Landfill","None",1,1,1,1,1.17176470588235,1.08247422680412,1.02542389326865
155,47,"Suburban","Mostly Plant-Based","Often","Public Transit","Renewable","House",1570,"Sometimes",TRUE,4,"High",205,2850,"Female","Rarely","Recycling","High",5,3,2,2,2.42926829268293,1.8421052631579,2.32713735558408
156,34,"Urban","Balanced","Sometimes","Bike","Mixed","Apartment",965,"Often",TRUE,3,"Low",290,3450,"Male","Sometimes","Combination","Moderate",3,2,3,NA,1.71724137931034,1.52173913043478,NA
157,59,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2305,"Always",FALSE,1,NA,460,5100,"Prefer not to say","Often","Landfill","None",1,1,1,1,1.08260869565217,1.02941176470588,1.01120204603581
158,26,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","Other",635,"Rarely",TRUE,5,"High",105,1500,"Female",NA,"Composting","High",5,3,3,3,4.74285714285714,3.5,3.22428571428571
159,43,"Suburban","Balanced","Often","Public Transit","Renewable","House",1655,"Sometimes",TRUE,4,"Moderate",235,3000,"Male","Sometimes","Recycling","Moderate",4,3,2,2,2.11914893617021,1.75,2.28691489361702
160,56,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1980,"Often",TRUE,3,"Low",360,4050,"Female","Rarely","Combination","Low",3,2,3,NA,1.38333333333333,1.2962962962963,NA
161,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1140,"Always",FALSE,2,NA,385,4350,"Male","Often","Landfill","None",1,1,1,1,1.29350649350649,1.20689655172414,1.05004030452306
162,48,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1395,"Rarely",TRUE,4,"High",140,1950,"Female",NA,"Composting","High",5,3,3,3,3.55714285714286,2.69230769230769,3.02494505494505
163,35,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",975,"Often",FALSE,3,"Low",295,3450,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.68813559322034,1.52173913043478,1.92098747236551
164,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",770,"Always",FALSE,1,NA,440,4950,"Male","Often","Landfill","None",1,1,1,1,1.13181818181818,1.06060606060606,1.01924242424242
165,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1315,"Rarely",TRUE,5,"High",110,1650,"Female",NA,"Composting","High",5,3,3,3,4.52727272727273,3.18181818181818,3.17090909090909
166,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1085,"Sometimes",TRUE,4,"Moderate",240,3050,"Prefer not to say","Sometimes","Recycling","Moderate",4,3,2,2,2.075,1.72131147540984,2.27963114754098
167,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1895,"Often",TRUE,3,"Low",330,3850,"Female","Rarely","Combination","Low",3,2,3,NA,1.50909090909091,1.36363636363636,NA
168,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",670,"Always",FALSE,2,NA,415,4600,"Male","Often","Landfill","None",1,1,1,1,1.2,1.14130434782609,1.03413043478261
169,49,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1460,"Rarely",TRUE,5,"High",150,2000,"Female",NA,"Composting","High",5,3,3,3,3.32,2.625,2.9945
170,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",980,"Often",TRUE,3,"Low",285,3350,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.74736842105263,1.56716417910448,1.93145326001571
171,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2300,"Always",FALSE,1,NA,470,5200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.05957446808511,1.00961538461538,1.00691898527005
172,28,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",640,"Rarely",TRUE,5,"High",95,1300,"Female",NA,"Composting","High",5,3,3,3,5.24210526315789,4.03846153846154,3.32805668016194
173,45,"Suburban","Balanced","Often","Public Transit","Renewable","House",1695,"Sometimes",TRUE,4,"Moderate",220,2900,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.26363636363636,1.81034482758621,2.30739811912226
174,58,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1965,"Often",TRUE,3,"Moderate",350,4000,"Male","Rarely","Combination","Moderate",4,2,3,NA,1.42285714285714,1.3125,NA
175,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1155,"Always",FALSE,2,NA,390,4400,"Male","Often","Landfill","None",1,1,1,1,1.27692307692308,1.19318181818182,1.04701048951049
176,41,"Urban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",1020,"Sometimes",TRUE,4,"Moderate",195,2450,"Female",NA,"Composting","High",5,3,3,3,2.55384615384615,2.14285714285714,2.86967032967033
177,26,"Suburban","Balanced","Sometimes","Public Transit","Mixed","House",1540,"Often",TRUE,3,"Low",305,3550,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.6327868852459,1.47887323943662,1.91116601246825
178,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1915,"Often",TRUE,3,"Low",345,3950,"Female","Rarely","Combination","Low",3,2,3,NA,1.44347826086957,1.32911392405063,NA
179,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",685,"Always",FALSE,2,NA,420,4800,"Male","Often","Landfill","None",1,1,1,1,1.18571428571429,1.09375,1.02794642857143
180,48,"Suburban","Mostly Plant-Based","Often","Public Transit","Renewable","House",1585,"Sometimes",TRUE,4,"High",210,2800,"Female","Rarely","Recycling","High",5,3,2,2,2.37142857142857,1.875,2.32464285714286
181,35,"Urban","Balanced","Sometimes","Bike","Mixed","Apartment",970,"Often",TRUE,3,"Low",295,3450,"Male","Sometimes","Combination","Moderate",3,2,3,NA,1.68813559322034,1.52173913043478,NA
182,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2315,"Always",FALSE,1,NA,465,5150,"Prefer not to say","Often","Landfill","None",1,1,1,1,1.07096774193548,1.01941747572816,1.00903852176636
183,26,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","Other",630,"Rarely",TRUE,5,"High",100,1400,"Female",NA,"Composting","High",5,3,3,3,4.98,3.75,3.273
184,43,"Suburban","Balanced","Often","Public Transit","Renewable","House",1665,"Sometimes",TRUE,4,"Moderate",230,2900,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.16521739130435,1.81034482758621,2.29755622188906
185,56,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1995,"Often",TRUE,3,"Moderate",355,4050,"Male","Rarely","Combination","Moderate",4,2,3,NA,1.40281690140845,1.2962962962963,NA
186,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1145,"Always",FALSE,2,NA,385,4350,"Non-Binary","Often","Landfill","None",1,1,1,1,1.29350649350649,1.20689655172414,1.05004030452306
187,48,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1395,"Rarely",TRUE,4,"High",145,1950,"Female",NA,"Composting","High",5,3,3,3,3.43448275862069,2.69230769230769,3.01267904509284
188,35,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",975,"Often",FALSE,3,"Low",290,3400,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.71724137931034,1.54411764705882,1.92613590263692
189,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",760,"Always",FALSE,1,NA,445,4950,"Male","Often","Landfill","None",1,1,1,1,1.11910112359551,1.06060606060606,1.01797071842016
190,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1310,"Rarely",TRUE,5,"High",110,1600,"Female",NA,"Composting","High",5,3,3,3,4.52727272727273,3.28125,3.18085227272727
191,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1085,"Sometimes",TRUE,4,"Moderate",245,3100,"Male","Sometimes","Recycling","Moderate",4,3,2,2,2.03265306122449,1.69354838709677,2.27262014483213
192,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1895,"Often",TRUE,3,"Low",335,3950,"Female","Rarely","Combination","Low",3,2,3,NA,1.4865671641791,1.32911392405063,NA
193,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",675,"Always",FALSE,2,NA,410,4650,"Male","Often","Landfill","None",1,1,1,1,1.21463414634146,1.12903225806452,1.0343666404406
194,49,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1465,"Rarely",TRUE,4,"High",155,2050,"Female",NA,"Composting","High",5,3,3,3,3.21290322580645,2.5609756097561,2.97738788355626
195,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",980,"Often",TRUE,3,"Low",285,3350,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.74736842105263,1.56716417910448,1.93145326001571
196,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2305,"Always",FALSE,1,NA,475,5250,"Non-Binary","Often","Landfill","None",1,1,1,1,1.04842105263158,1,1.00484210526316
197,28,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",640,"Rarely",TRUE,5,"High",100,1450,"Female",NA,"Composting","High",5,3,3,3,4.98,3.62068965517241,3.26006896551724
198,45,"Suburban","Balanced","Often","Public Transit","Renewable","House",1690,"Sometimes",TRUE,4,"Moderate",220,2900,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.26363636363636,1.81034482758621,2.30739811912226
199,58,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1970,"Often",TRUE,3,"Low",350,4000,"Male","Rarely","Combination","Low",3,2,3,NA,1.42285714285714,1.3125,NA
200,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1150,"Always",FALSE,2,NA,395,4450,"Male","Often","Landfill","None",1,1,1,1,1.26075949367089,1.17977528089888,1.04405347745698
201,35,"Urban","Mostly Plant-Based","Often","Bike","Renewable","Apartment",800,"Rarely",TRUE,5,"High",100,1500,"Female","Rarely","Composting","High",5,3,3,3,4.98,3.5,3.248
202,28,"Suburban","Balanced","Sometimes","Public Transit","Mixed","House",1500,"Sometimes",TRUE,4,"Moderate",250,3000,"Male","Sometimes","Recycling","Moderate",4,2,2,2,1.992,1.75,1.9742
203,65,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2500,"Often",FALSE,2,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
204,42,"Urban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",950,"Sometimes",TRUE,4,"Moderate",150,2000,"Female","Rarely","Recycling","High",5,3,3,2,3.32,2.625,2.7945
205,31,"Suburban","Balanced","Sometimes","Public Transit","Mixed","House",1800,"Often",TRUE,3,"Low",300,3500,"Non-Binary","Sometimes","Combination","Moderate",3,2,2,NA,1.66,1.5,NA
206,58,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2200,"Always",FALSE,1,NA,450,5000,"Male","Often","Landfill","None",1,1,1,1,1.10666666666667,1.05,1.01566666666667
207,25,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",600,"Rarely",TRUE,5,"High",80,1200,"Female",NA,"Composting","High",5,3,3,3,6.225,4.375,3.46
208,39,"Suburban","Balanced","Often","Public Transit","Renewable","House",1600,"Sometimes",TRUE,4,"Moderate",200,2800,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.49,1.875,2.3365
209,52,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",2000,"Often",TRUE,3,"Low",350,4000,"Male","Rarely","Combination","Low",3,2,3,NA,1.42285714285714,1.3125,NA
210,29,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1100,"Always",FALSE,2,NA,380,4200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.31052631578947,1.25,1.05605263157895
211,48,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1400,"Sometimes",TRUE,5,"High",120,1800,"Male","Rarely","Composting","High",5,3,3,3,4.15,2.91666666666667,3.10666666666667
212,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",900,"Often",FALSE,3,"Low",280,3200,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.77857142857143,1.640625,1.94191964285714
213,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",750,"Always",FALSE,1,NA,420,4800,"Male","Often","Landfill","None",1,1,1,1,1.18571428571429,1.09375,1.02794642857143
214,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1300,"Rarely",TRUE,4,"Moderate",160,2200,"Female",NA,"Composting","High",5,3,3,3,3.1125,2.38636363636364,2.94988636363636
215,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1050,"Sometimes",TRUE,4,"Moderate",220,3000,"Prefer not to say","Sometimes","Recycling","Moderate",4,3,2,2,2.26363636363636,1.75,2.30136363636364
216,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1900,"Often",TRUE,3,"Low",320,3800,"Female","Rarely","Combination","Low",3,2,3,NA,1.55625,1.38157894736842,NA
217,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",650,"Always",FALSE,2,NA,400,4600,"Male","Often","Landfill","None",1,1,1,1,1.245,1.14130434782609,1.03863043478261
218,50,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1550,"Rarely",TRUE,5,"High",130,1900,"Female",NA,"Composting","High",5,3,3,3,3.83076923076923,2.76315789473684,3.05939271255061
219,24,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",850,"Often",TRUE,3,"Moderate",260,3100,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.91538461538462,1.69354838709677,1.96089330024814
220,63,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2400,"Always",FALSE,1,NA,480,5200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.0375,1.00961538461538,1.00471153846154
221,57,"Urban","Balanced","Rarely","Car","Mixed","House",2742,"Always",FALSE,2,"Low",131,571,"Non-Binary","Rarely","Landfill","High",2,2,1,1,3.80152671755725,9.19439579684764,2.39959225144049
222,27,"Urban","Mostly Animal-Based","Often","Car","Renewable","Apartment",1355,"Always",FALSE,3,"Moderate",270,2727,"Female","Rarely","Composting","Moderate",5,3,1,3,1.84444444444444,1.92519251925193,2.17696369636964
223,68,"Suburban","Mostly Plant-Based","Rarely","Car","Renewable","House",2240,"Always",FALSE,3,"Low",153,3465,"Prefer not to say","Often","Composting","None",2,3,1,3,3.25490196078431,1.51515151515152,2.27700534759358
224,61,"Rural","Mostly Plant-Based","Sometimes","Walk","Renewable","Apartment",1453,"Rarely",FALSE,4,NA,71,3414,"Prefer not to say","Sometimes","Combination","Moderate",5,3,3,NA,7.01408450704225,1.5377855887522,NA
225,37,"Rural","Mostly Animal-Based","Rarely","Public Transit","Renewable","Apartment",440,"Rarely",TRUE,3,NA,188,4364,"Prefer not to say","Often","Composting","Moderate",4,3,2,3,2.64893617021277,1.20302474793767,2.48519609181504
226,48,"Urban","Mostly Animal-Based",NA,"Walk","Non-Renewable","Apartment",2567,"Often",TRUE,1,NA,422,4270,"Prefer not to say","Rarely","Landfill","Low",1,1,3,1,1.18009478672986,1.22950819672131,1.64096029834512
227,49,"Rural","Mostly Animal-Based","Often","Bike","Non-Renewable","Other",2402,"Always",FALSE,4,NA,414,3608,"Male","Sometimes","Recycling","High",3,1,3,2,1.20289855072464,1.45509977827051,1.86579983289951
228,20,"Rural","Mostly Plant-Based",NA,"Walk","Renewable","Other",2095,"Sometimes",TRUE,2,"Low",123,1099,"Non-Binary","Sometimes","Combination","Low",5,3,3,NA,4.04878048780488,4.77707006369427,NA
229,40,"Rural","Balanced","Often","Bike","Non-Renewable","Apartment",713,"Sometimes",TRUE,3,NA,469,1070,"Prefer not to say","Rarely","Combination","None",4,1,3,NA,1.06183368869936,4.90654205607477,NA
230,66,"Suburban","Mostly Animal-Based","Rarely","Public Transit","Mixed","Other",1233,"Rarely",TRUE,1,"Moderate",80,2824,"Non-Binary","Often","Composting","Moderate",4,2,2,3,6.225,1.85906515580737,2.60840651558074
231,51,"Rural","Balanced","Often","Public Transit","Renewable","Apartment",1995,"Always",TRUE,2,"High",409,4638,"Male","Often","Combination","None",2,3,2,NA,1.21760391198044,1.13195342820181,NA
232,61,"Urban","Mostly Animal-Based","Rarely","Car","Renewable","Apartment",2914,"Often",FALSE,3,NA,220,4483,"Prefer not to say","Rarely","Composting","Low",1,3,1,3,2.26363636363636,1.17109078741914,2.14347271510555
233,51,"Rural","Balanced","Often","Walk","Renewable","Other",613,"Often",TRUE,2,"High",351,3897,"Female","Rarely","Landfill","Low",5,3,3,1,1.41880341880342,1.34719014626636,2.27659935650698
234,60,"Urban","Mostly Plant-Based","Often","Car","Mixed","Other",517,"Rarely",FALSE,2,NA,244,2455,"Male",NA,"Combination","None",2,2,1,NA,2.04098360655738,2.13849287169043,NA
235,19,"Rural","Balanced",NA,"Public Transit","Mixed","Apartment",897,"Rarely",FALSE,5,"Low",318,4078,"Prefer not to say","Sometimes","Combination","None",3,2,2,NA,1.56603773584906,1.2873957822462,NA
236,56,"Urban","Mostly Animal-Based",NA,"Bike","Mixed","Other",1129,"Sometimes",TRUE,4,NA,431,3570,"Male","Rarely","Combination","None",4,2,3,NA,1.1554524361949,1.47058823529412,NA
237,50,"Suburban","Balanced","Sometimes","Bike","Mixed","Other",2747,"Often",TRUE,2,"Low",201,3548,"Female","Often","Recycling","Low",4,2,3,2,2.47761194029851,1.47970687711387,2.29573188174124
238,37,"Urban","Mostly Plant-Based","Sometimes","Walk","Non-Renewable","Apartment",1657,"Always",TRUE,3,"Low",466,3373,"Prefer not to say","Sometimes","Composting","Low",5,1,3,3,1.068669527897,1.55647791283724,2.06251474407342
239,59,"Urban","Balanced","Rarely","Walk","Mixed","Other",2857,"Often",TRUE,2,"Low",168,4203,"Male",NA,"Recycling","None",5,2,3,2,2.96428571428571,1.24910778015703,2.32133934944427
240,56,"Rural","Balanced","Often","Public Transit","Mixed","House",2219,"Always",TRUE,2,"Moderate",205,1622,"Male",NA,"Recycling","High",5,2,2,2,2.42926829268293,3.2367447595561,2.1666013052239
241,30,"Urban","Balanced","Rarely","Walk","Mixed","Other",2603,"Always",TRUE,1,"Moderate",492,3681,"Female","Sometimes","Composting","High",5,2,3,3,1.01219512195122,1.42624286878566,2.34384379907369
242,24,"Rural","Balanced","Rarely","Bike","Non-Renewable","House",1547,"Sometimes",FALSE,5,"High",178,4870,"Non-Binary",NA,"Composting","Low",5,1,3,3,2.79775280898876,1.07802874743327,2.1875781556422
243,56,"Rural","Balanced","Rarely","Bike","Mixed","Other",704,"Often",FALSE,3,"Low",138,565,"Female","Sometimes","Combination","None",3,2,3,NA,3.60869565217391,9.29203539823009,NA
244,24,"Urban","Balanced","Sometimes","Car","Renewable","House",651,"Rarely",FALSE,2,NA,430,1176,"Male",NA,"Composting","None",1,3,1,3,1.15813953488372,4.46428571428571,2.36224252491694
245,43,"Rural","Mostly Plant-Based","Sometimes","Car","Non-Renewable","Other",421,"Sometimes",FALSE,1,"Moderate",372,1641,"Female","Rarely","Composting","Moderate",5,1,1,3,1.33870967741935,3.19926873857404,1.65379784159934
246,56,"Suburban","Mostly Animal-Based","Sometimes","Walk","Non-Renewable","Apartment",1594,"Sometimes",FALSE,2,"High",469,4546,"Non-Binary","Often","Recycling","Low",1,1,3,2,1.06183368869936,1.15486141663,1.82166951053294
247,18,"Urban","Mostly Animal-Based",NA,"Bike","Mixed","Apartment",607,"Rarely",FALSE,2,"Low",395,617,"Non-Binary","Often","Recycling","Low",3,2,3,2,1.26075949367089,8.50891410048622,2.87696735941571
248,43,"Suburban","Mostly Animal-Based","Often","Public Transit","Renewable","House",1860,"Often",TRUE,3,"Low",379,3305,"Non-Binary",NA,"Landfill","High",5,3,2,1,1.31398416886544,1.58850226928896,1.99024864381544
249,31,"Suburban","Mostly Plant-Based","Sometimes","Public Transit","Renewable","House",2997,"Sometimes",FALSE,2,"High",413,4120,"Non-Binary",NA,"Composting","High",5,3,2,3,1.20581113801453,1.27427184466019,2.34800829826747
250,73,"Rural","Mostly Plant-Based","Sometimes","Bike","Renewable","Apartment",2505,"Often",TRUE,4,"Moderate",292,757,"Non-Binary","Often","Recycling","High",5,3,3,2,1.70547945205479,6.93527080581242,3.06407502578672
251,68,"Rural","Mostly Plant-Based","Often","Walk","Renewable","House",1987,"Rarely",TRUE,4,"High",159,2059,"Prefer not to say","Rarely","Composting","High",5,3,3,3,3.13207547169811,2.54978144730452,2.96818569190026
252,21,"Urban","Mostly Plant-Based","Sometimes","Bike","Renewable","House",2819,"Often",TRUE,3,"Low",260,4895,"Female","Often","Recycling","Moderate",2,3,3,2,1.91538461538462,1.07252298263534,2.498790759802
253,69,"Suburban","Mostly Animal-Based","Rarely","Bike","Mixed","Other",2433,"Sometimes",FALSE,2,"Moderate",479,4055,"Male","Rarely","Recycling","High",2,2,3,2,1.03966597077244,1.29469790382244,2.13343638745949
254,30,"Rural","Mostly Animal-Based","Sometimes","Public Transit","Non-Renewable","House",2850,"Often",FALSE,1,"High",486,1055,"Non-Binary","Often","Recycling","None",1,1,2,2,1.02469135802469,4.97630331753555,1.90009946755602
255,44,"Suburban","Mostly Plant-Based","Often","Public Transit","Mixed","House",1850,"Often",TRUE,2,"Moderate",231,1899,"Male",NA,"Combination","Moderate",4,2,2,NA,2.15584415584416,2.76461295418641,NA
256,50,"Urban","Mostly Animal-Based","Rarely","Public Transit","Mixed","Other",1522,"Sometimes",TRUE,2,"Low",335,3749,"Male","Often","Landfill","None",2,2,2,1,1.4865671641791,1.40037343291544,1.68869405970945
257,58,"Rural","Balanced","Often","Bike","Renewable","Apartment",1040,"Rarely",TRUE,3,"Moderate",262,4322,"Female","Sometimes","Composting","None",3,3,3,3,1.90076335877863,1.21471540953262,2.71154787683112
